date,close,isTP_DN,isTP_UP
2017-03-13,207.6742553710937,,
2017-03-14,206.87954711914065,,
2017-03-15,208.6697692871093,,
2017-03-16,208.25929260253903,,
2017-03-17,207.8936309814453,,
2017-03-20,207.6655731201172,,
2017-03-21,204.99923706054688,,
2017-03-22,205.481674194336,,
2017-03-23,205.2624053955078,,
2017-03-24,205.11325073242188,,
2017-03-27,204.9027404785156,,
2017-03-28,206.393783569336,,
2017-03-29,206.5867614746093,,
2017-03-30,207.24459838867188,,
2017-03-31,206.7621612548828,,
2017-04-03,206.40255737304688,,
2017-04-04,206.5341339111328,,
2017-04-05,205.920166015625,,
2017-04-06,206.49905395507807,,
2017-04-07,206.2885284423828,,
2017-04-10,206.41131591796875,,
2017-04-11,206.16574096679688,,
2017-04-12,205.2624053955078,,
2017-04-13,203.92919921875,,
2017-04-17,205.7360076904297,,
2017-04-18,205.12203979492188,,
2017-04-19,204.74484252929688,,
2017-04-20,206.41131591796875,,
2017-04-21,205.75357055664065,,
2017-04-24,208.01638793945312,,
2017-04-25,209.226791381836,,
2017-04-26,209.09518432617188,,
2017-04-27,209.2706298828125,,
2017-04-28,208.81455993652344,,
2017-05-01,209.3408203125,,
2017-05-02,209.41970825195312,,
2017-05-03,209.16534423828125,,
2017-05-04,209.4109649658203,,
2017-05-05,210.2353973388672,,
2017-05-08,210.2003326416016,,
2017-05-09,210.00738525390625,,
2017-05-10,210.384506225586,,
2017-05-11,209.9547882080078,,
2017-05-12,209.60389709472656,,
2017-05-15,210.7616271972656,,
2017-05-16,210.56871032714844,,
2017-05-17,206.8323516845703,,
2017-05-18,207.6655731201172,,
2017-05-19,209.0162811279297,,
2017-05-22,210.07752990722656,,
2017-05-23,210.5423889160156,,
2017-05-24,211.03355407714844,,
2017-05-25,212.04217529296875,,
2017-05-26,211.9983367919922,,
2017-05-30,211.8140869140625,,
2017-05-31,211.76153564453125,,
2017-06-01,213.4454498291016,,
2017-06-02,214.15594482421875,,
2017-06-05,213.9980926513672,,
2017-06-06,213.31393432617188,,
2017-06-07,213.7086334228516,,
2017-06-08,213.8138885498047,,
2017-06-09,213.4893035888672,,
2017-06-12,213.4454498291016,,
2017-06-13,214.4892120361328,,
2017-06-14,214.21731567382807,,
2017-06-15,213.8050842285156,,
2017-06-16,213.8518218994141,,
2017-06-19,215.6322021484375,,
2017-06-20,214.1779327392578,,
2017-06-21,214.12506103515625,,
2017-06-22,214.028076171875,,
2017-06-23,214.2836761474609,,
2017-06-26,214.42469787597656,,
2017-06-27,212.69728088378903,,
2017-06-28,214.60096740722656,,
2017-06-29,212.71487426757807,,
2017-06-30,213.1114654541016,,
2017-07-03,213.47283935546875,,
