date,close,m1_up,lab_dn,lab_up,isFP_DN,isFP_UP
2025-09-16 00:00:00,115088.66,,,,,
2025-09-16 01:00:00,115024.24,,,,,
2025-09-16 02:00:00,115034.47,,,,,
2025-09-16 03:00:00,115307.25,,,,,
2025-09-16 04:00:00,115503.01,,,,,
2025-09-16 05:00:00,115936.65,,,,,
2025-09-16 06:00:00,115770.35,,,,,
2025-09-16 07:00:00,115840.0,,,,,
2025-09-16 08:00:00,115658.76,,,,,
2025-09-16 09:00:00,115477.27,,,,,
2025-09-16 10:00:00,115372.46,,,,,
2025-09-16 11:00:00,115287.83,,,,,
2025-09-16 12:00:00,115439.36,,,,,
2025-09-16 13:00:00,115200.0,,,,,
2025-09-16 14:00:00,115296.86,,,,,
2025-09-16 15:00:00,115905.88,,,,,
2025-09-16 16:00:00,116068.06,,,,,
2025-09-16 17:00:00,116461.54,,,,,
2025-09-16 18:00:00,116418.86,,,,,
2025-09-16 19:00:00,116800.12,,,,,
2025-09-16 20:00:00,116839.47,,,,,
2025-09-16 21:00:00,116800.51,,,,,
2025-09-16 22:00:00,116855.58,,,,,
2025-09-16 23:00:00,116788.96,,,,,
2025-09-17 00:00:00,116560.01,,,,,
2025-09-17 01:00:00,116662.25,,,,,
2025-09-17 02:00:00,116686.43,,,,,
2025-09-17 03:00:00,116372.04,,,,,
2025-09-17 04:00:00,116313.49,,,,,
2025-09-17 05:00:00,117108.3,,,,,
2025-09-17 06:00:00,117234.27,,,,,
2025-09-17 07:00:00,117162.48,,,,,
2025-09-17 08:00:00,116860.0,,,,,
2025-09-17 09:00:00,116550.01,,,,,
2025-09-17 10:00:00,116359.14,,,,,
2025-09-17 11:00:00,116258.13,,,,,
2025-09-17 12:00:00,116204.94,,,,,
2025-09-17 13:00:00,116107.19,,,,,
2025-09-17 14:00:00,115606.61,,,,,
2025-09-17 15:00:00,115875.32,,,,,
2025-09-17 16:00:00,115640.77,,,,,
2025-09-17 17:00:00,115504.48,,,,,
2025-09-17 18:00:00,115226.93,,,,,
2025-09-17 19:00:00,115652.02,,,,,
2025-09-17 20:00:00,115621.47,,,,,
2025-09-17 21:00:00,116038.39,,,,,
2025-09-17 22:00:00,116559.69,,,,,
2025-09-17 23:00:00,116447.59,,,,,
2025-09-18 00:00:00,116350.65,,,,,
2025-09-18 01:00:00,116634.84,,,,,
2025-09-18 02:00:00,116950.47,,,,,
2025-09-18 03:00:00,117581.66,,,,,
2025-09-18 04:00:00,117605.16,,,,,
2025-09-18 05:00:00,117273.36,,,,,
2025-09-18 06:00:00,117102.43,,,,,
2025-09-18 07:00:00,117086.01,,,,,
2025-09-18 08:00:00,117229.59,,,,,
2025-09-18 09:00:00,117298.81,,,,,
2025-09-18 10:00:00,117190.47,,,,,
2025-09-18 11:00:00,117063.4,,,,,
2025-09-18 12:00:00,117124.69,,,,,
2025-09-18 13:00:00,117432.04,,,,,
2025-09-18 14:00:00,117640.54,,,,,
2025-09-18 15:00:00,117583.56,,,,,
2025-09-18 16:00:00,117565.6,,,,,
2025-09-18 17:00:00,117579.93,,,,,
2025-09-18 18:00:00,117822.97,,,,,
2025-09-18 19:00:00,117450.21,,,,,
2025-09-18 20:00:00,117521.14,,,,,
2025-09-18 21:00:00,117299.21,,,,,
2025-09-18 22:00:00,117061.02,,,,,
2025-09-18 23:00:00,117073.53,,,,,
2025-09-19 00:00:00,117424.2,,,,,
2025-09-19 01:00:00,117241.32,,,,,
2025-09-19 02:00:00,117112.8,,,,,
2025-09-19 03:00:00,116977.58,,,,,
2025-09-19 04:00:00,116990.65,,,,,
2025-09-19 05:00:00,116894.83,,,,,
2025-09-19 06:00:00,116669.75,,,,,
2025-09-19 07:00:00,116909.97,,,,,
2025-09-19 08:00:00,116915.88,,,,,
2025-09-19 09:00:00,116488.0,,,,,
2025-09-19 10:00:00,116532.68,,,,,
2025-09-19 11:00:00,116394.72,,,,,
2025-09-19 12:00:00,116162.45,,,,,
2025-09-19 13:00:00,116284.64,,,,,
2025-09-19 14:00:00,115899.99,,,,,
2025-09-19 15:00:00,115884.03,,,,,
2025-09-19 16:00:00,116088.68,,,,,
2025-09-19 17:00:00,115542.73,0.0,0.0,1.0,1.0,
2025-09-19 18:00:00,115407.49,1.0,0.0,1.0,,0.0
2025-09-19 19:00:00,115125.12,1.0,0.0,1.0,,0.0
2025-09-19 20:00:00,115342.57,1.0,0.0,0.0,,1.0
2025-09-19 21:00:00,115465.39,1.0,0.0,0.0,,1.0
2025-09-19 22:00:00,115613.21,1.0,0.0,0.0,,1.0
2025-09-19 23:00:00,115632.38,1.0,0.0,0.0,,1.0
2025-09-20 00:00:00,115723.73,1.0,0.0,1.0,,0.0
2025-09-20 01:00:00,115623.51,1.0,0.0,0.0,,1.0
2025-09-20 02:00:00,115606.39,1.0,0.0,0.0,,1.0
2025-09-20 03:00:00,115445.0,1.0,0.0,1.0,,0.0
2025-09-20 04:00:00,115568.41,1.0,0.0,1.0,,0.0
2025-09-20 05:00:00,115717.49,1.0,0.0,1.0,,0.0
2025-09-20 06:00:00,115700.46,1.0,0.0,1.0,,0.0
2025-09-20 07:00:00,115968.56,1.0,0.0,0.0,,1.0
2025-09-20 08:00:00,115701.43,1.0,0.0,1.0,,0.0
2025-09-20 09:00:00,115672.8,1.0,0.0,1.0,,0.0
2025-09-20 10:00:00,115747.54,1.0,0.0,0.0,,1.0
2025-09-20 11:00:00,115894.06,1.0,1.0,0.0,,1.0
2025-09-20 12:00:00,115874.49,1.0,1.0,0.0,,1.0
2025-09-20 13:00:00,115915.8,1.0,1.0,0.0,,1.0
2025-09-20 14:00:00,115970.36,1.0,1.0,0.0,,1.0
2025-09-20 15:00:00,115986.69,1.0,1.0,0.0,,1.0
2025-09-20 16:00:00,116027.94,1.0,1.0,0.0,,1.0
2025-09-20 17:00:00,115821.72,1.0,1.0,0.0,,1.0
2025-09-20 18:00:00,115711.51,1.0,1.0,0.0,,1.0
2025-09-20 19:00:00,115702.0,1.0,0.0,0.0,,1.0
2025-09-20 20:00:00,115721.1,1.0,0.0,0.0,,1.0
2025-09-20 21:00:00,115786.31,1.0,1.0,0.0,,1.0
2025-09-20 22:00:00,115776.06,1.0,0.0,0.0,,1.0
2025-09-20 23:00:00,115685.63,1.0,0.0,0.0,,1.0
2025-09-21 00:00:00,115660.01,1.0,0.0,1.0,,0.0
2025-09-21 01:00:00,115500.0,1.0,0.0,1.0,,0.0
2025-09-21 02:00:00,115690.76,1.0,0.0,0.0,,1.0
2025-09-21 03:00:00,115669.41,1.0,1.0,0.0,,1.0
2025-09-21 04:00:00,115494.23,1.0,0.0,0.0,,1.0
2025-09-21 05:00:00,115663.48,1.0,0.0,0.0,,1.0
2025-09-21 06:00:00,115687.2,1.0,0.0,0.0,,1.0
2025-09-21 07:00:00,115815.97,1.0,1.0,0.0,,1.0
2025-09-21 08:00:00,115629.6,1.0,0.0,0.0,,1.0
2025-09-21 09:00:00,115683.54,1.0,1.0,0.0,,1.0
2025-09-21 10:00:00,115522.31,1.0,0.0,0.0,,1.0
2025-09-21 11:00:00,115603.45,1.0,0.0,0.0,,1.0
2025-09-21 12:00:00,115683.59,1.0,1.0,0.0,,1.0
2025-09-21 13:00:00,115661.65,1.0,1.0,0.0,,1.0
2025-09-21 14:00:00,115500.01,1.0,0.0,0.0,,1.0
2025-09-21 15:00:00,115531.61,1.0,0.0,0.0,,1.0
2025-09-21 16:00:00,115316.0,1.0,0.0,0.0,,1.0
2025-09-21 17:00:00,115628.18,1.0,1.0,0.0,,1.0
2025-09-21 18:00:00,115530.9,1.0,1.0,0.0,,1.0
2025-09-21 19:00:00,115480.05,1.0,1.0,0.0,,1.0
2025-09-21 20:00:00,115307.51,1.0,1.0,0.0,,1.0
2025-09-21 21:00:00,115405.48,1.0,1.0,0.0,,1.0
