date,open,high,low,close,volume,rsi,vwap,sma,ema,vix,spx,gold,nasdaq,dji,dx,fear&greed_idx,fgi_cls,close_ffd,eos_price,prediction,ground_truth,pred,lab,meta_target
2022-08-06,23313.56,23354.36,22909.52,22954.21,83911.80307,53.98717485434615,22880.458452749444,22897.779,22687.3807792541,21.196666717529297,4143.47998046875,1777.5333658854167,12653.1865234375,32813.158854166664,106.56000264485677,31.0,Fear,429.2474929090531,,,,,,
2022-08-07,22954.21,23402.0,22844.62,23174.39,88890.00877,54.64540973746495,22951.500347673013,22934.8695,22733.762609801328,21.24333381652832,4141.77001953125,1782.1667073567708,12648.8232421875,32822.848958333336,106.50000254313152,30.0,Fear,768.1675457858328,,,,,,
2022-08-08,23174.39,24245.0,23154.25,23810.0,170958.44152,71.66393891689837,22995.08447245044,22955.5385,22836.261408867867,21.290000915527344,4140.06005859375,1786.800048828125,12644.4599609375,32832.5390625,106.44000244140624,30.0,Fear,1313.1221434145957,,,,,,
2022-08-09,23810.98,23933.25,22865.0,23149.95,143182.50858,64.87263995480015,22973.71337990784,22951.871,22866.13651278521,21.770000457763672,4122.47021484375,1794.0,12493.9296875,32774.41015625,106.37000274658205,42.0,Fear,316.34470651952506,,,,,,
2022-08-10,23151.32,24226.0,22664.69,23954.05,208916.54953,59.141989258892806,23015.735384686188,22991.964,22969.747321091385,19.739999771118164,4210.240234375,1795.5999755859375,12854.7998046875,33309.51171875,105.1999969482422,31.0,Fear,1362.9324902217595,,,,,,
2022-08-11,23954.05,24918.54,23852.13,23934.39,249759.79557,50.99257683625628,23111.49002533907,23054.442000000003,23061.61805241601,20.200000762939453,4207.27001953125,1789.699951171875,12779.91015625,33336.671875,105.08999633789062,41.0,Fear,980.131807091646,,,,,,
2022-08-12,23933.09,24456.5,23583.0,24403.68,174207.5704,56.290103868144776,23190.33130648489,23152.0725,23189.433475995444,19.530000686645508,4280.14990234375,1798.5999755859375,13047.1904296875,33761.05078125,105.62999725341795,42.0,Fear,1373.4280675944392,,,,,,
2022-08-13,24401.7,24888.0,24291.22,24441.38,152852.25435,58.11706346380404,23272.03885133847,23245.1575,23308.66647828159,19.670000712076824,4285.813313802083,1792.8666585286458,13074.1435546875,33811.514322916664,105.93666585286458,46.0,Fear,1136.641107603169,,,,,,
2022-08-14,24443.06,25047.56,24144.0,24305.24,151206.14473,60.76345751289167,23411.6800096458,23394.8745,23403.57824225477,19.810000737508137,4291.476725260417,1787.1333414713542,13101.0966796875,33861.977864583336,106.2433344523112,47.0,Neutral,898.1970795248671,,,,,,
2022-08-15,24305.25,25211.32,23773.22,24094.82,242539.54758,58.46130544861366,23601.796555053184,23536.882,23469.41079061146,19.950000762939453,4297.14013671875,1781.4000244140625,13128.0498046875,33912.44140625,106.5500030517578,45.0,Fear,704.8832231860579,,,,,,
2022-08-16,24093.04,24247.49,23671.22,23854.74,179324.94821,58.945578441873096,23697.05773998661,23581.9965,23506.108810553225,19.690000534057617,4305.2001953125,1773.199951171875,13102.5498046875,34152.01171875,106.5,44.0,Fear,554.2040711944428,,,,,,
