date,close,rel_interval_width,forecast_slope,bowley_skewness,moors_kurtosis,tail_asymmetry,m1_pred_proba_dn,m1_pred_proba_up,m1_dn,m1_up,m1_prediction,isTP_DN,isTP_UP
2022-07-02,19252.81,,,,,,,,,,,,
2022-07-03,19315.83,,,,,,,,,,,,
2022-07-04,20236.71,,,,,,,,,,,,
2022-07-05,20175.83,,,,,,,,,,,,
2022-07-06,20564.51,,,,,,,,,,,,
2022-07-07,21624.98,,,,,,,,,,,,
2022-07-08,21594.75,,,,,,,,,,,,
2022-07-09,21591.83,,,,,,,,,,,,
2022-07-10,20862.47,,,,,,,,,,,,
2022-07-11,19963.61,,,,,,,,,,,,
2022-07-12,19328.75,,,,,,,,,,,,
2022-07-13,20234.87,,,,,,,,,,,,
2022-07-14,20588.84,,,,,,,,,,,,
2022-07-15,20830.04,,,,,,,,,,,,
2022-07-16,21195.6,,,,,,,,,,,,
2022-07-17,20798.16,,,,,,,,,,,,
2022-07-18,22432.58,,,,,,,,,,,,
2022-07-19,23396.62,,,,,,,,,,,,
2022-07-20,23223.3,,,,,,,,,,,,
2022-07-21,23152.19,,,,,,,,,,,,
2022-07-22,22684.83,,,,,,,,,,,,
2022-07-23,22451.07,,,,,,,,,,,,
2022-07-24,22579.68,,,,,,,,,,,,
2022-07-25,21310.9,,,,,,,,,,,,
2022-07-26,21254.67,,,,,,,,,,,,
2022-07-27,22952.45,,,,,,,,,,,,
2022-07-28,23842.93,,,,,,,,,,,,
2022-07-29,23773.75,,,,,,,,,,,,
2022-07-30,23643.51,,,,,,,,,,,,
2022-07-31,23293.32,,,,,,,,,,,,
2022-08-01,23268.01,,,,,,,,,,,,
2022-08-02,22987.79,,,,,,,,,,,,
2022-08-03,22818.37,,,,,,,,,,,,
2022-08-04,22622.98,,,,,,,,,,,,
2022-08-05,23312.42,,,,,,,,,,,,
2022-08-06,22954.21,,,,,,,,,,,,
2022-08-07,23174.39,,,,,,,,,,,,
2022-08-08,23810.0,,,,,,,,,,,,
2022-08-09,23149.95,,,,,,,,,,,,
2022-08-10,23954.05,,,,,,,,,,,,
2022-08-11,23934.39,,,,,,,,,,,,
2022-08-12,24403.68,,,,,,,,,,,,
2022-08-13,24441.38,,,,,,,,,,,,
2022-08-14,24305.24,,,,,,,,,,,,
2022-08-15,24094.82,,,,,,,,,,,,
2022-08-16,23854.74,,,,,,,,,,,,
2022-08-17,23342.66,,,,,,,,,,,,
2022-08-18,23191.2,,,,,,,,,,,,
2022-08-19,20834.39,,,,,,,,,,,,
2022-08-20,21140.07,,,,,,,,,,,,
2022-08-21,21515.61,,,,,,,,,,,,
2022-08-22,21399.83,,,,,,,,,,,,
2022-08-23,21529.12,,,,,,,,,,,,
2022-08-24,21368.08,,,,,,,,,,,,
2022-08-25,21559.04,,,,,,,,,,,,
2022-08-26,20241.05,,,,,,,,,,,,
2022-08-27,20037.6,,,,,,,,,,,,
2022-08-28,19555.61,,,,,,,,,,,,
2022-08-29,20285.73,,,,,,,,,,,,
2022-08-30,19811.66,,,,,,,,,,,,
2022-08-31,20050.02,,,,,,,,,,,,
2022-09-01,20131.46,,,,,,,,,,,,
2022-09-02,19951.86,,,,,,,,,,,,
2022-09-03,19831.9,,,,,,,,,,,,
2022-09-04,20000.3,,,,,,,,,,,,
2022-09-05,19796.84,,,,,,,,,,,,
2022-09-06,18790.61,,,,,,,,,,,,
2022-09-07,19292.84,,,,,,,,,,,,
2022-09-08,19319.77,,,,,,,,,,,,
2022-09-09,21360.11,,,,,,,,,,,,
2022-09-10,21648.34,,,,,,,,,,,,
2022-09-11,21826.87,,,,,,,,,,,,
2022-09-12,22395.74,,,,,,,,,,,,
2022-09-13,20173.57,,,,,,,,,,,,
2022-09-14,20226.71,,,,,,,,,,,,
2022-09-15,19701.88,,,,,,,,,,,,
