date,open,high,low,close,volume,rsi,vwap,sma,ema,vix,spx,gold,nasdaq,dji,dx,fear&greed_idx,fgi_cls,eos_price,prediction,q10,q20,q30,q40,q50,q60,q70,q80,q90,oct1,oct2,oct3,oct4,oct5,oct6,oct7,rel_interval_width,forecast_slope,ground_truth,pred,pred_proba,lab,meta_label
2022-07-02,19279.8,19467.39,18977.01,19252.81,46180.3021,52.263381091032834,20990.876772381285,20670.330500000004,21643.96754436272,26.910000801086422,3826.845031738281,1789.625030517578,11176.447265625,31064.89990234375,105.47999954223631,14.0,Extreme Fear,,,,,,,,,,,,,,,,,,,,,,,,,
2022-07-03,19252.82,19647.63,18781.0,19315.83,51087.46631,36.586301965726136,20588.26725556143,20511.7515,21422.24015918532,27.1200008392334,3828.3599853515625,1780.3500366210938,11225.044921875,31032.5400390625,105.81999969482422,11.0,Extreme Fear,,,,,,,,,,,,,,,,,,,,,,,,,
2022-07-04,19315.83,20354.01,19055.31,20236.71,74814.04601,46.9951734561476,20406.78212157944,20416.7665,21309.33252497719,27.33000087738037,3829.874938964844,1771.0750427246094,11273.642578125,31000.18017578125,106.15999984741212,14.0,Extreme Fear,,,,,,,,,,,,,,,,,,,,,,,,,
2022-07-05,20236.71,20750.0,19304.4,20175.83,96041.13756,45.040737863304045,20226.35009333145,20296.372,21201.37990355079,27.540000915527344,3831.389892578125,1761.800048828125,11322.240234375,30967.8203125,106.5,19.0,Extreme Fear,,,,,,,,,,,,,,,,,,,,,,,,,
2022-07-06,20175.84,20675.22,19761.25,20564.51,82439.5808,55.57019849121938,20175.225963052617,20304.532,21140.725627022144,26.729999542236328,3845.080078125,1734.9000244140625,11361.849609375,31037.6796875,107.0999984741211,18.0,Extreme Fear,,,,,,,,,,,,,,,,,,,,,,,,,
2022-07-07,20564.51,21838.1,20251.68,21624.98,85014.58261,55.034351122645134,20201.298848360973,20362.3405,21186.84509111528,26.07999992370605,3902.6201171875,1737.9000244140625,11621.349609375,31384.55078125,107.12999725341795,18.0,Extreme Fear,,,,,,,,,,,,,,,,,,,,,,,,,
2022-07-08,21624.99,22527.37,21189.26,21594.75,403081.57349,53.55918214368308,20633.961832354205,20493.5385,21225.693177675726,24.63999938964844,3899.3798828125,1740.5999755859375,11635.3095703125,31338.150390625,107.01000213623048,20.0,Extreme Fear,,,,,,,,,,,,,,,,,,,,,,,,,
2022-07-09,21594.75,21980.0,21322.12,21591.83,178417.84468,51.05593164143654,20777.564514236667,20544.43,21260.56335123042,25.149999618530277,3884.396565755209,1737.066650390625,11547.739583333334,31283.38020833333,107.34666697184244,24.0,Extreme Fear,,,,,,,,,,,,,,,,,,,,,,,,,
2022-07-10,21592.15,21607.65,20655.0,20862.47,192188.21556,48.25852391058573,20819.95137792162,20558.859,21222.649698732283,25.65999984741211,3869.413248697917,1733.5333251953125,11460.169596354166,31228.610026041668,107.68333180745442,24.0,Extreme Fear,,,,,,,,,,,,,,,,,,,,,,,,,
2022-07-11,20861.11,20868.48,19875.23,19963.61,137535.40724,43.10059255453891,20776.461330764,20520.8635,21102.741155995875,26.170000076293945,3854.429931640625,1730.0,11372.599609375,31173.83984375,108.0199966430664,22.0,Extreme Fear,,,,,,,,,,,,,,,,,,,,,,,,,
2022-07-12,19963.61,20059.42,19240.0,19328.75,139506.45862,41.81475396312538,20720.60940265505,20487.9015,20933.7896173296,27.290000915527344,3818.800048828125,1723.300048828125,11264.73046875,30981.330078125,108.06999969482422,16.0,Extreme Fear,,,,,,,,,,,,,,,,,,,,,,,,,
2022-07-13,19331.28,20366.61,18910.94,20234.87,209250.24888,50.85175010051047,20639.012086290782,20444.1385,20867.225844250588,26.81999969482422,3801.780029296875,1734.199951171875,11247.580078125,30772.7890625,107.95999908447266,15.0,Extreme Fear,,,,,,,,,,,,,,,,,,,,,,,,,
2022-07-14,20234.87,20900.0,19616.07,20588.84,174809.21696,54.79720757012606,20601.705791169228,20411.696,20840.71290670292,26.399999618530277,3790.3798828125,1704.5,11251.1904296875,30630.169921875,108.54000091552734,18.0,Extreme Fear,,,,,,,,,,,,,,,,,,,,,,,,,
