date,open,high,low,close,volume,amount,eos_price,prediction,q10,q20,q30,q40,q50,q60,q70,q80,q90,oct1,oct2,oct3,oct4,oct5,oct6,oct7,rel_interval_width,forecast_slope,ground_truth,pred,pred_proba,lab,meta_label
2025-09-16 00:00:00,115349.71,115349.71,114945.01,115088.66,244.26086,28123238.6990935,,,,,,,,,,,,,,,,,,,,,,,,,
2025-09-16 01:00:00,115088.66,115520.0,115008.69,115024.24,232.3498,26780434.9710867,,,,,,,,,,,,,,,,,,,,,,,,,
2025-09-16 02:00:00,115024.24,115227.51,115024.23,115034.47,151.83383,17477426.8101756,,,,,,,,,,,,,,,,,,,,,,,,,
2025-09-16 03:00:00,115034.48,115426.49,115034.44,115307.25,236.03187,27210571.5792693,,,,,,,,,,,,,,,,,,,,,,,,,
2025-09-16 04:00:00,115307.26,115560.01,114930.0,115503.01,446.01382,51432919.6766715,,,,,,,,,,,,,,,,,,,,,,,,,
2025-09-16 05:00:00,115503.02,115957.23,115454.3,115936.65,685.43114,79340742.5819343,,,,,,,,,,,,,,,,,,,,,,,,,
2025-09-16 06:00:00,115936.65,116009.62,115591.57,115770.35,449.53079,52084399.2862441,,,,,,,,,,,,,,,,,,,,,,,,,
2025-09-16 07:00:00,115770.36,115886.17,115724.41,115840.0,319.02367,36948547.0925883,,,,,,,,,,,,,,,,,,,,,,,,,
2025-09-16 08:00:00,115839.99,115981.17,115526.5,115658.76,463.00777,53608872.3830909,,,,,,,,,,,,,,,,,,,,,,,,,
2025-09-16 09:00:00,115658.76,115720.0,115443.65,115477.27,286.71309,33145658.765972,,,,,,,,,,,,,,,,,,,,,,,,,
2025-09-16 10:00:00,115477.28,115590.49,115372.35,115372.46,292.6133,33787624.8413011,,,,,,,,,,,,,,,,,,,,,,,,,
2025-09-16 11:00:00,115372.47,115431.52,115206.15,115287.83,303.19825,34966227.8298595,,,,,,,,,,,,,,,,,,,,,,,,,
2025-09-16 12:00:00,115287.84,115460.2,115287.38,115439.36,296.84884,34253225.7321869,,,,,,,,,,,,,,,,,,,,,,,,,
2025-09-16 13:00:00,115439.36,115558.06,114737.11,115200.0,1064.59506,122614907.6704964,,,,,,,,,,,,,,,,,,,,,,,,,
2025-09-16 14:00:00,115200.0,115306.71,114811.0,115296.86,607.41382,69913882.1323022,,,,,,,,,,,,,,,,,,,,,,,,,
2025-09-16 15:00:00,115296.86,115905.89,115010.66,115905.88,653.80057,75404431.0554416,,,,,,,,,,,,,,,,,,,,,,,,,
2025-09-16 16:00:00,115905.88,116068.92,115608.28,116068.06,691.27604,80092227.3476458,,,,,,,,,,,,,,,,,,,,,,,,,
2025-09-16 17:00:00,116068.05,116870.76,116056.99,116461.54,1252.39334,145931742.1792644,,,,,,,,,,,,,,,,,,,,,,,,,
